iter	Passed	Remaining
136	12825	33982
137	12931	33922
138	13012	33794
139	13090	33662
140	13194	33593
141	13297	33523
142	13388	33425
143	13468	33297
144	13566	33215
145	13667	33138
146	13767	33060
147	13841	32919
148	13936	32830
149	14022	32719
150	14117	32628
151	14218	32553
152	14322	32483
153	14424	32409
154	14526	32332
155	14633	32268
156	14705	32127
157	14787	32008
158	14871	31893
159	14953	31777
160	15046	31682
161	15140	31589
162	15238	31505
163	15334	31416
164	15441	31349
165	15527	31243
166	15603	31113
167	15689	31005
168	15778	30902
169	15872	30811
170	15955	30697
171	16036	30580
172	16120	30471
173	16210	30370
174	16291	30255
175	16381	30157
176	16469	30055
177	16575	29984
178	16656	29870
179	16731	29744
180	16811	29628
181	16912	29550
182	17007	29461
183	17104	29374
184	17193	29275
185	17274	29162
186	17353	29045
187	17463	28982
188	17574	28918
189	17671	28833
190	17750	28717
191	17845	28626
192	17939	28536
193	18042	28458
194	18119	28340
195	18214	28251
196	18296	28141
197	18386	28043
198	18481	27954
199	18571	27857
200	18668	27770
201	18744	27653
202	18839	27563
203	18924	27459
204	19011	27358
205	19087	27240
206	19196	27172
207	19298	27092
208	19376	26978
209	19501	26930
210	19647	26910
211	19807	26908
212	19881	26788
213	19972	26691
214	20058	26588
215	20171	26521
216	20252	26412
217	20339	26310
218	20443	26231
219	20538	26140
220	20644	26063
221	20753	25989
222	20850	25899
223	20952	25816
224	21039	25714
225	21131	25619
226	21199	25495
227	21286	25394
228	21392	25315
229	21494	25232
230	21579	25128
231	21681	25046
232	21782	24960
233	21882	24874
234	21982	24789
235	22085	24706
236	22183	24617
237	22275	24521
238	22363	24422
239	22478	24351
240	22578	24265
241	22666	24165
242	22762	24074
243	22852	23976
244	22940	23876
245	23021	23770
246	23109	23671
247	23218	23593
248	23296	23483
249	23367	23367
250	23444	23257
251	23524	23151
252	23607	23047
253	23687	22941
254	23791	22858
255	23872	22753
256	23971	22665
257	24078	22584
258	24156	22477
259	24255	22389
260	24358	22305
261	24445	22206
262	24559	22131
263	24648	22034
264	24778	21973
265	24892	21897
266	25003	21819
267	25104	21732
268	25214	21652
269	25297	21549
270	25409	21471
271	25489	21366
272	25589	21277
273	25668	21172
274	25757	21074
275	25828	20961
276	25898	20849
277	25998	20761
278	26088	20665
279	26172	20563
280	26258	20464
281	26338	20360
282	26409	20250
283	26501	20156
284	26588	20058
285	26664	19951
286	26742	19847
287	26880	19786
288	27009	19720
289	27097	19622
290	27183	19523
291	27259	19417
292	27357	19327
293	27436	19224
294	27537	19135
295	27617	19033
296	27711	18940
297	27795	18841
298	27874	18738
299	27953	18635
300	28040	18538
301	28130	18443
302	28241	18361
303	28327	18263
304	28433	18178
305	28518	18080
306	28608	17985
307	28677	17876
308	28768	17782
309	28848	17681
310	28917	17573
311	29016	17484
312	29112	17392
313	29185	17287
314	29279	17196
315	29360	17095
316	29464	17009
317	29549	16912
318	29625	16809
319	29702	16707
320	29791	16612
321	29896	16526
322	30010	16445
323	30090	16345
324	30182	16252
325	30290	16167
326	30369	16066
327	30471	15979
328	30562	15885
329	30640	15784
330	30717	15683
331	30813	15592
332	30893	15492
333	30969	15391
334	31056	15296
335	31145	15202
336	31222	15101
337	31296	14999
338	31365	14896
339	31452	14801
340	31537	14705
341	31605	14601
342	31691	14506
343	31762	14403
344	31846	14307
345	31938	14215
346	32043	14128
347	32121	14030
348	32226	13943
349	32331	13856
350	32431	13767
351	32530	13677
352	32635	13590
353	32743	13504
354	32828	13408
355	32914	13313
356	33020	13226
357	33102	13129
358	33177	13030
359	33247	12929
360	33328	12832
361	33395	12730
362	33462	12629
363	33524	12525
364	33614	12432
365	33698	12337
366	33776	12240
367	33878	12152
368	33991	12067
369	34108	11984
370	34191	11888
371	34280	11795
372	34372	11703
373	34468	11612
374	34577	11525
375	34704	11445
376	34815	11358
377	34927	11272
378	35071	11196
