iter	Accuracy	MultiClass
253	0.5747045465	0.89572047
254	0.5747482189	0.8956668933
255	0.5747937902	0.8956178511
256	0.5748355638	0.8955557854
257	0.5748849326	0.8954684519
258	0.5749039206	0.8954372551
259	0.5749456943	0.8953870473
260	0.5749286051	0.8953403396
261	0.5749418967	0.8952975992
262	0.5749494919	0.8952156981
263	0.5749722775	0.8951439573
264	0.5749931643	0.8950986212
265	0.5750425332	0.8950529365
266	0.5750748128	0.8950136147
267	0.5751184852	0.8949662194
268	0.5750938008	0.8949097144
269	0.5751355744	0.8948589509
270	0.5751811457	0.8947954471
271	0.5751564612	0.8947527579
272	0.5752533001	0.894694585
273	0.5752912761	0.8946404084
274	0.5753292522	0.8945974267
275	0.5753900138	0.8945607904
276	0.5754203946	0.8945174728
277	0.5754146982	0.8944635947
278	0.5754279899	0.8944201509
279	0.5754716623	0.8943868163
280	0.5754393827	0.8943390021
281	0.5754298887	0.8942925678
282	0.5754109006	0.8942491009
283	0.5754431803	0.8941931231
284	0.5754868527	0.8941507127
285	0.5755438167	0.8941031084
286	0.5755172335	0.8940540048
287	0.5755571084	0.893994998
288	0.575560906	0.8939108141
289	0.575608376	0.8938605632
290	0.5755741976	0.8938201885
291	0.5756216676	0.8937776445
292	0.5756919233	0.8937143603
293	0.5756691376	0.8936712922
294	0.5756615424	0.8936379485
295	0.5757014173	0.893596831
296	0.5757128101	0.8935390112
297	0.5757735717	0.8934985712
298	0.5757545837	0.8934406931
299	0.575828637	0.8934063612
300	0.5758685118	0.8933593054
301	0.5758874998	0.8933132992
302	0.5758931962	0.8932255392
303	0.5759672495	0.893187914
304	0.5759957315	0.893138465
305	0.5760337075	0.8931037531
306	0.5760185171	0.8930449328
307	0.5760166183	0.8930137612
308	0.5760887728	0.8929587397
309	0.576105862	0.8929135338
310	0.5760849752	0.892884897
311	0.5761191536	0.892822716
312	0.5761894092	0.8927801798
313	0.5762083973	0.8927457034
314	0.5761970045	0.8926987436
315	0.5762482721	0.892664338
316	0.5762824505	0.8926162966
317	0.5763071349	0.8925856598
318	0.5763280218	0.8925535104
319	0.5763697954	0.8925142607
320	0.5763792894	0.8924661367
321	0.5763982774	0.892429212
322	0.5764666343	0.8923863441
323	0.5765008127	0.8923489799
324	0.5765084079	0.8922998688
325	0.5764894199	0.8922413586
326	0.5765179019	0.892190129
327	0.5765349911	0.8921330953
328	0.5765179019	0.8920954387
329	0.5765273959	0.8920666604
330	0.5765425863	0.8920275271
